EventType	clientTime(ms)	buffer_level	cls	colors	bitrate_kbps
	2024-01-25 08:37:59.071	5.452		blue	6.0
	2024-01-25 08:38:00.071	4.655		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:00.212		blue	blue	
	2024-01-25 08:38:01.071	3.592		blue	6.0
	2024-01-25 08:38:02.071	2.53		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:02.467		purple	blue	
	2024-01-25 08:38:03.071	5.467		blue	6.0
	2024-01-25 08:38:04.071	4.67		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:04.594		blue	blue	
	2024-01-25 08:38:05.071	3.608		blue	6.0
	2024-01-25 08:38:06.071	2.545		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:06.585		purple	blue	
	2024-01-25 08:38:07.071	5.545		blue	6.0
	2024-01-25 08:38:08.071	4.577		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:08.223		blue	blue	
	2024-01-25 08:38:09.071	3.514		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:09.981		purple	blue	
	2024-01-25 08:38:10.071	4.452		blue	6.0
	2024-01-25 08:38:11.071	5.655		blue	6.0
	2024-01-25 08:38:12.071	4.592		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:12.114		blue	blue	
	2024-01-25 08:38:13.071	3.53		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:14.162		purple	blue	
	2024-01-25 08:38:14.190	2.467		blue	6.0
	2024-01-25 08:38:15.071	5.67		blue	6.0
	2024-01-25 08:38:16.071	4.608		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:16.311		blue	blue	
	2024-01-25 08:38:17.071	3.545		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:17.996		purple	blue	
	2024-01-25 08:38:18.073	3.316		blue	6.0
	2024-01-25 08:38:19.071	5.686		blue	6.0
	2024-01-25 08:38:20.071	4.624		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:20.611		blue	blue	
	2024-01-25 08:38:21.071	3.561		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:22.017		purple	blue	
	2024-01-25 08:38:22.071	2.48		blue	6.0
	2024-01-25 08:38:23.071	5.686		blue	6.0
	2024-01-25 08:38:24.071	4.624		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:24.608		blue	blue	
	2024-01-25 08:38:25.071	3.561		blue	6.0
	2024-01-25 08:38:26.071	2.499		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:26.365		purple	blue	
	2024-01-25 08:38:27.071	5.592		blue	6.0
	2024-01-25 08:38:28.071	4.53		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:28.481		blue	blue	
	2024-01-25 08:38:29.071	3.467		blue	6.0
	2024-01-25 08:38:30.071	2.671		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:30.908		purple	blue	
	2024-01-25 08:38:31.071	1.576		blue	6.0
	2024-01-25 08:38:32.071	4.514		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:32.087		blue	blue	
	2024-01-25 08:38:33.071	3.452		blue	6.0
BUFFER_EMPTY	2024-01-25 08:38:34.071	0.0	red	red	
	2024-01-25 08:38:34.081	2.454		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:34.718		purple	blue	
	2024-01-25 08:38:35.071	5.828		blue	6.0
	2024-01-25 08:38:36.071	4.801		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:36.379		blue	blue	
BUFFER_EMPTY	2024-01-25 08:38:36.659	0.0	red	red	
	2024-01-25 08:38:37.071	4.027		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:37.956		purple	blue	
	2024-01-25 08:38:38.071	6.892		blue	6.0
	2024-01-25 08:38:39.071	5.902		blue	6.0
	2024-01-25 08:38:40.071	5.105		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:40.556		blue	blue	
	2024-01-25 08:38:41.071	4.042		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:41.844		purple	blue	
	2024-01-25 08:38:42.071	6.98		blue	6.0
	2024-01-25 08:38:43.071	5.917		blue	6.0
	2024-01-25 08:38:44.071	5.12		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:44.436		blue	blue	
	2024-01-25 08:38:45.071	4.058		blue	6.0
	2024-01-25 08:38:46.071	2.995		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:46.209		purple	blue	
	2024-01-25 08:38:47.071	5.917		blue	6.0
	2024-01-25 08:38:48.071	5.12		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:38:48.825		blue	blue	
	2024-01-25 08:38:49.071	4.058		blue	6.0
	2024-01-25 08:38:50.071	2.995		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:38:50.983		purple	blue	
