Config	Tput(Mbps)
O_Sp_90Mhz	84.711
O_Sp_90Mhz	74.599
O_Sp_90Mhz	73.726
O_Sp_90Mhz	64.976
O_Sp_90Mhz	70.932
O_Sp_90Mhz	80.955
O_Sp_90Mhz	82.208
O_Sp_90Mhz	80.361
O_Sp_90Mhz	87.664
O_Sp_90Mhz	87.69
O_Sp_90Mhz	86.408
O_Sp_90Mhz	83.019
O_Sp_90Mhz	95.261
O_Sp_90Mhz	85.48
O_Sp_90Mhz	80.252
O_Sp_90Mhz	82.851
O_Sp_90Mhz	86.683
O_Sp_90Mhz	80.671
O_Sp_90Mhz	76.498
O_Sp_90Mhz	87.012
O_Sp_90Mhz	84.686
O_Sp_90Mhz	83.141
O_Sp_90Mhz	80.33
O_Sp_90Mhz	80.219
O_Sp_90Mhz	95.764
O_Sp_90Mhz	98.198
O_Sp_90Mhz	93.414
O_Sp_90Mhz	86.468
O_Sp_90Mhz	96.11
O_Sp_90Mhz	107.158
O_Sp_90Mhz	102.362
O_Sp_90Mhz	101.511
O_Sp_90Mhz	96.317
O_Sp_90Mhz	94.673
O_Sp_90Mhz	90.32
O_Sp_90Mhz	93.63
O_Sp_90Mhz	89.164
O_Sp_90Mhz	80.446
O_Sp_90Mhz	89.539
O_Sp_90Mhz	83.439
O_Sp_90Mhz	75.728
O_Sp_90Mhz	79.033
O_Sp_90Mhz	76.301
O_Sp_90Mhz	80.967
O_Sp_90Mhz	79.223
O_Sp_90Mhz	75.664
O_Sp_90Mhz	68.103
O_Sp_90Mhz	75.08
O_Sp_90Mhz	81.202
O_Sp_90Mhz	84.758
O_Sp_90Mhz	91.166
O_Sp_90Mhz	78.411
O_Sp_90Mhz	77.257
O_Sp_90Mhz	85.87
O_Sp_90Mhz	87.666
O_Sp_90Mhz	81.71
O_Sp_90Mhz	87.262
O_Sp_90Mhz	97.702
O_Sp_90Mhz	89.232
O_Sp_90Mhz	99.01
O_Sp_90Mhz	95.424
O_Sp_90Mhz	89.091
O_Sp_90Mhz	71.602
O_Sp_90Mhz	85.639
O_Sp_90Mhz	89.815
O_Sp_90Mhz	94.878
O_Sp_90Mhz	86.101
O_Sp_90Mhz	80.446
O_Sp_90Mhz	96.131
O_Sp_90Mhz	92.202
O_Sp_90Mhz	86.764
O_Sp_90Mhz	91.601
O_Sp_90Mhz	98.27
O_Sp_90Mhz	98.756
O_Sp_90Mhz	100.463
O_Sp_90Mhz	107.918
O_Sp_90Mhz	90.417
O_Sp_90Mhz	90.046
O_Sp_90Mhz	100.091
O_Sp_90Mhz	94.124
O_Sp_90Mhz	92.103
O_Sp_90Mhz	91.184
O_Sp_90Mhz	84.35
O_Sp_90Mhz	75.973
O_Sp_90Mhz	78.498
O_Sp_90Mhz	84.128
O_Sp_90Mhz	90.117
O_Sp_90Mhz	94.944
O_Sp_90Mhz	100.352
O_Sp_90Mhz	97.335
O_Sp_90Mhz	91.315
O_Sp_90Mhz	98.797
O_Sp_90Mhz	103.188
O_Sp_90Mhz	98.738
O_Sp_90Mhz	102.594
O_Sp_90Mhz	104.459
O_Sp_90Mhz	108.938
O_Sp_90Mhz	107.199
O_Sp_90Mhz	93.882
O_Sp_90Mhz	84.761
O_Sp_90Mhz	87.725
O_Sp_90Mhz	89.171
O_Sp_90Mhz	89.106
O_Sp_90Mhz	88.249
O_Sp_90Mhz	87.247
O_Sp_90Mhz	95.382
O_Sp_90Mhz	103.84
O_Sp_90Mhz	99.312
O_Sp_90Mhz	96.654
O_Sp_90Mhz	90.962
O_Sp_90Mhz	89.541
O_Sp_90Mhz	92.011
O_Sp_90Mhz	89.807
O_Sp_90Mhz	82.169
O_Sp_90Mhz	89.095
O_Sp_90Mhz	76.648
O_Sp_90Mhz	87.605
O_Sp_90Mhz	89.119
O_Sp_90Mhz	91.409
O_Sp_90Mhz	84.666
O_Sp_90Mhz	83.658
O_Sp_90Mhz	84.768
O_Sp_90Mhz	86.079
O_Sp_90Mhz	85.862
O_Sp_90Mhz	87.434
O_Sp_90Mhz	85.487
O_Sp_90Mhz	67.636
O_Sp_90Mhz	77.75
O_Sp_90Mhz	79.483
O_Sp_90Mhz	79.041
O_Sp_90Mhz	70.249
O_Sp_90Mhz	66.421
O_Sp_90Mhz	68.812
O_Sp_90Mhz	70.213
O_Sp_90Mhz	76.945
O_Sp_90Mhz	70.703
O_Sp_90Mhz	67.415
O_Sp_90Mhz	70.863
O_Sp_90Mhz	81.107
O_Sp_90Mhz	84.591
O_Sp_90Mhz	84.494
O_Sp_90Mhz	89.058
O_Sp_90Mhz	80.285
O_Sp_90Mhz	74.708
O_Sp_90Mhz	75.967
O_Sp_90Mhz	80.893
O_Sp_90Mhz	80.348
O_Sp_90Mhz	74.082
O_Sp_90Mhz	79.741
O_Sp_90Mhz	81.164
O_Sp_90Mhz	90.506
O_Sp_90Mhz	88.698
O_Sp_90Mhz	92.345
O_Sp_90Mhz	91.647
O_Sp_90Mhz	103.952
O_Sp_90Mhz	97.303
O_Sp_90Mhz	99.04
O_Sp_90Mhz	89.24
O_Sp_90Mhz	84.31
O_Sp_90Mhz	82.887
O_Sp_90Mhz	82.171
O_Sp_90Mhz	73.859
O_Sp_90Mhz	75.884
O_Sp_90Mhz	79.305
O_Sp_90Mhz	77.815
O_Sp_90Mhz	83.362
O_Sp_90Mhz	80.494
O_Sp_90Mhz	79.034
O_Sp_90Mhz	68.297
O_Sp_90Mhz	80.05
O_Sp_90Mhz	76.869
O_Sp_90Mhz	69.139
O_Sp_90Mhz	57.72
O_Sp_90Mhz	70.093
O_Sp_90Mhz	81.004
O_Sp_90Mhz	68.76
O_Sp_90Mhz	73.269
O_Sp_90Mhz	74.562
O_Sp_90Mhz	77.536
O_Sp_90Mhz	82.846
O_Sp_90Mhz	87.774
O_Sp_90Mhz	87.978
O_Sp_90Mhz	89.98
O_Sp_90Mhz	78.522
O_Sp_90Mhz	81.43
O_Sp_90Mhz	92.042
O_Sp_90Mhz	85.67
O_Sp_90Mhz	81.453
O_Sp_90Mhz	86.719
O_Sp_90Mhz	82.025
O_Sp_90Mhz	82.808
O_Sp_90Mhz	76.816
O_Sp_90Mhz	92.015
O_Sp_90Mhz	94.589
O_Sp_90Mhz	101.339
O_Sp_90Mhz	102.805
O_Sp_90Mhz	109.179
O_Sp_90Mhz	105.781
O_Sp_90Mhz	94.173
O_Sp_90Mhz	92.496
O_Sp_90Mhz	91.345
O_Sp_90Mhz	81.704
